panel_id,panel_title,panel_room,panel_day_time,panel_chair,panel_discussant,section,panel_day,panel_time
1009,The Politics of Social Media,MP6-1,Thursday 09:00,Christina Gahn,Simon Munzert,Political Behavior,Thursday,09:00
1412,Group Appeals and Political Persuasion,MP6-3,Thursday 09:00,Gilad Hurvitz,Peter Langsæther,Public Opinion and Political Communication,Thursday,09:00
1424,The Threat of AI,MP6-5,Thursday 09:00,Emma Hoes,Isadora Borges Monroy,Public Opinion and Political Communication,Thursday,09:00
1802,Party Manifestos,MP6-2,Thursday 09:00,Jonathan Slapin,Rosa Navarrete,Party Politics,Thursday,09:00
2203,The Cement of Society,MP7-20,Thursday 09:00,Anja Neundorf,Jeremy Siow,Political Sociology,Thursday,09:00
2105,Who Protests?,MP6-4,Thursday 09:00,Johannes Vüllers,Roos van der Haer,International Relations,Thursday,09:00
1021,Consequences of Affective Polarization,MP6-1,Thursday 11:00,Aiko Wagner,Stuart Turnbull-Dugarte,Political Behavior,Thursday,11:00
1031,Social Norms and Politics,MP7-20,Thursday 11:00,Valentin Daur,Jan Menzner,Political Behavior,Thursday,11:00
1042,Rethinking the Nature of Migrants,MP5-Rom,Thursday 11:00,Niels Nyholt,Ala Alrababah,Political Behavior,Thursday,11:00
1107,The Making of a Politician,MP8-Small,Thursday 11:00,Thomas Gschwend,Adam Dynes,Political Representation,Thursday,11:00
1109,The Great Divide in US Politics and Society,MP6-5,Thursday 11:00,Bernard Grofman,Daniel Urquijo,Political Representation,Thursday,11:00
1111,Political Participation: Causes and Consequences,MP7-Saal,Thursday 11:00,Andreas Videbæk Jensen,Leticia Meniconi Barbabela,Political Representation,Thursday,11:00
1116,Candidates and Electoral Success,MP7-313,Thursday 11:00,David Willumsen,Jan Berz,Political Representation,Thursday,11:00
1402,Political Knowledge and Opinion Formation,MP8-Large,Thursday 11:00,Thorsten Faas,Nanna Lauritz Schönhage,Public Opinion and Political Communication,Thursday,11:00
1415,Cleavages 1,MP7-222,Thursday 11:00,Tarik Abou-Chadi,Giorgio Malet,Public Opinion and Political Communication,Thursday,11:00
1506,The Organization of Political Protest,MP6-4,Thursday 11:00,Ivan Aleksandrov,Jou Fei Huang,Comparative Politics,Thursday,11:00
1509,Clientelistic Policies in Comparative Perspective,MP5-SanFrancisco,Thursday 11:00,Rachel Bernhard,Pau Vall-Prat,Comparative Politics,Thursday,11:00
1603,The State of the European Union,MP7-315,Thursday 11:00,Theresa Kuhn,Christophe Crombez,European Politics,Thursday,11:00
1704,Formal Models of Electoral Competition,MP7-316,Thursday 11:00,Carlo Prato,Nolan McCarty,Formal Political Theory,Thursday,11:00
